Time,Temperature,Humidity,SoilMoisture,Solar,Fan,Heater,Pump,Simulation
0,25,60,60,200,0,0,0,1
60,24.952286848,59.704455,59.9904937348277,200.00285578378,0,0,0,1
120,24.905143570285,59.4176474980779,59.9809678404261,200.011423080749,0,0,0,1
180,24.8585648453496,59.1393248885439,59.9714230498389,200.025701727798,0,0,0,1
240,24.8125454151225,58.8692420311826,59.9618600722919,200.045691453083,0,0,0,1
300,24.7670800841821,58.607161030507,59.9522795939166,200.071391876027,0,0,0,1
360,24.7221637189808,58.3528510215376,59.9426822784506,200.102802507333,0,0,0,1
420,24.6777912470791,58.1060879619116,59.9330687679186,200.139922748986,0,0,0,1
480,24.6339576563885,57.8666544301375,59.9234396832918,200.182751894271,0,0,0,1
540,24.5906579944232,57.6343394298106,59.9137956251288,200.231289127783,0,0,0,1
600,24.5478873675616,57.4089381996165,59.9041371741961,200.285533525443,0,0,0,1
660,24.5056409403158,57.1902520289486,59.8944648920713,200.345484054515,0,0,0,1
720,24.46391393461,56.9780880789753,59.884779321727,200.411139573628,0,0,0,1
780,24.4227016290677,56.7722592089962,59.8750809880985,200.482498832795,0,0,0,1
840,24.3819993583073,56.572583807929,59.8653703986336,200.55956047344,0,0,0,1
900,24.341802512246,56.378885630778,59.8556480438262,200.642323028419,0,0,0,1
960,24.3021065354123,56.1909936399346,59.8459143977343,200.730784922053,0,0,0,1
1020,24.2629069262666,56.0087418511691,59.836169918482,200.824944470154,0,0,0,1
1080,24.2241992365294,55.8319691841735,59.8264150487467,200.924799880062,0,0,0,1
1140,24.1859790705185,55.6605193175217,59.8166502162318,201.030349250672,0,0,0,1
1200,24.1482420844931,55.4942405479163,59.806875834125,201.141590572476,0,0,0,1
1260,24.1109839860066,55.3329856535954,59.7970923015433,201.258521727602,0,0,0,1
1320,24.0742005332666,55.1766117617762,59.7873000039641,201.381140489846,0,0,0,1
1380,24.0378875345025,55.0249802200163,59.7774993136437,201.509444524727,0,0,0,1
1440,24.0020408473413,54.8779564713774,59.7676905900235,201.643431389518,0,0,0,1
1500,23.9666563781898,54.7354099332775,59.7578741801233,201.783098533304,0,0,0,1
1560,23.9317300816252,54.5972138799245,59.7480504189238,201.928443297024,0,0,0,1
1620,23.8972579597924,54.4632453282243,59.7382196297366,202.079462913522,0,0,0,1
1680,23.863236061809,54.3333849270606,59.7283821245639,202.236154507604,0,0,0,1
1740,23.8296604831763,54.2075168498469,59.718538204447,202.398515096086,0,0,0,1
1800,23.7965273651989,54.085528690255,59.7086881598043,202.566541587857,0,0,0,1
1860,23.7638328944101,53.9673113610242,59.6988322707596,202.740230783935,0,0,0,1
1920,23.7315733020045,53.8527589957616,59.6889708074598,202.919579377529,0,0,0,1
1980,23.6997448632776,53.7417688536451,59.6791040303837,203.104583954099,0,0,0,1
2040,23.6683438970716,53.6342412269424,59.6692321906414,203.295240991425,0,0,0,1
2100,23.6373667652284,53.5300793512635,59.6593555302646,203.491546859672,0,0,0,1
2160,23.6068098720488,53.4291893184654,59.6494742824876,203.693497821459,0,0,0,1
2220,23.5766696637582,53.3314799921316,59.6395886720214,203.901090031931,0,0,0,1
2280,23.5469426279787,53.2368629255491,59.6296989153176,204.114319538831,0,0,0,1
2340,23.5176252932076,53.1452522821096,59.6198052208259,204.333182282577,0,0,0,1
2400,23.4887142283023,53.0565647580637,59.6099077892431,204.557674096338,0,0,0,1
2460,23.4602060419708,52.9707195075575,59.6000068137549,204.787790706113,0,0,0,1
2520,23.4320973822687,52.8876380698855,59.5901024802701,205.023527730814,0,0,0,1
2580,23.4043849361026,52.8072442988931,59.5801949676478,205.264880682347,0,0,0,1
2640,23.3770654287383,52.7294642944657,59.5702844479183,205.511844965701,0,0,0,1
2700,23.3501356233163,52.6542263360429,59.5603710864966,205.764415879031,0,0,0,1
2760,23.323592320372,52.5814608180975,59.55045504239,206.022588613751,0,0,0,1
2820,23.2974323573623,52.5111001875219,59.5405364683988,206.286358254625,0,0,0,1
2880,23.2716526081974,52.4430788828643,59.5306155113118,206.555719779858,0,0,0,1
2940,23.2462499827785,52.3773332753618,59.5206923120953,206.830668061196,0,0,0,1
3000,23.221221426541,52.3138016117156,59.5107670060764,207.11119786402,0,0,0,1
3060,23.1965639200033,52.2524239585579,59.5008397231209,207.397303847446,0,0,0,1
3120,23.1722744783206,52.19314214856,59.4909105878062,207.68898056443,0,0,0,1
3180,23.1483501508445,52.1358997281335,59.4809797195879,207.986222461866,0,0,0,1
3240,23.1247880206874,52.0806419066766,59.4710472329627,208.289023880697,0,0,0,1
3300,23.1015852042929,52.0273155073218,59.4611132376252,208.597379056022,0,0,0,1
3360,23.0787388510105,51.9758689191377,59.451177838621,208.911282117201,0,0,0,1
3420,23.0562461426756,51.9262520507448,59.441241136494,209.230727087974,0,0,0,1
3480,23.0341042931952,51.8784162853018,59.4313032274303,209.555707886568,0,0,0,1
3540,23.0123105481378,51.8323144368223,59.4213642033972,209.886218325817,0,0,0,1
